year,age,age_gp,edu,parity,add_exp,intention,race,marital,birth_5yr,birth_5yr_binary,race_only,hisp_only,marital_formal,weight,SECU,SEST,wants_more_kids
2015-2017,26,25-29,Bachelor,0,1.5,1.5,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,7620.71628392245,4,329,1
2015-2017,34,30-34,<HS,4,0,4,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Formerly Married,5079.48027744743,1,309,0
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,2605.3519912531,1,368,1
2015-2017,44,40-44,Bachelor,1,0,1,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,6934.79220273619,3,330,0
2015-2017,22,20-24,Some College,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,32237.5007724086,4,305,1
2015-2017,28,25-29,Some College,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,18549.2450770448,4,343,1
2015-2017,25,25-29,Bachelor,3,1,4,Non-Hispanic White,Cohabitating,2,1,White,Non-Hispanic,Never Married,29523.3104109659,4,316,1
2015-2017,24,20-24,HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4010.1066156136,4,368,1
2015-2017,22,20-24,Some College,0,3,3,Other or Multiple,Cohabitating,0,0,White,Non-Hispanic,Never Married,39252.0897994362,3,343,1
2015-2017,44,40-44,Some College,4,0,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,52528.0846617257,2,368,0
2015-2017,34,30-34,Some College,0,3,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,4484.82424812213,4,309,1
2015-2017,25,25-29,Some College,0,0,0,Hispanic,Cohabitating,0,0,White,Hispanic,Never Married,7523.85337107843,3,312,0
2015-2017,43,40-44,<HS,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3599.27670054333,1,331,0
2015-2017,15,15-19,<HS,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,6997.9684357278,1,322,1
2015-2017,36,35-39,Post-Grad,1,0,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,11864.4380786688,4,311,0
2015-2017,21,20-24,<HS,2,0,2,Other or Multiple,Never Married,2,1,Black,Non-Hispanic,Never Married,2339.71382625366,4,330,0
2015-2017,44,40-44,Some College,1,0,1,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,4889.27959189599,3,368,0
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,5286.49434824098,3,343,1
2015-2017,33,30-34,HS,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,70854.1130658614,2,368,0
2015-2017,15,15-19,<HS,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,8226.27559397102,4,309,1
2015-2017,23,20-24,Some College,0,3,3,Hispanic,Never Married,0,0,White,Hispanic,Never Married,11836.1298093726,1,330,1
2015-2017,20,20-24,Some College,0,3,3,Hispanic,Never Married,0,0,White,Hispanic,Never Married,9180.14007226555,3,337,1
2015-2017,21,20-24,Some College,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,28693.3417660234,1,366,1
2015-2017,15,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,3301.1375867801,1,309,1
2015-2017,16,15-19,<HS,0,0,0,Other or Multiple,Never Married,0,0,White,Non-Hispanic,Never Married,12527.9025219919,1,312,0
2015-2017,17,15-19,<HS,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,11726.2758097411,1,311,1
2015-2017,40,40-44,Bachelor,3,0,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Formerly Married,21052.5385594893,1,311,0
2015-2017,30,30-34,Bachelor,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,5181.82224871155,2,366,0
2015-2017,25,25-29,Bachelor,0,3,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,45263.7580243002,3,364,1
2015-2017,18,15-19,HS,0,6,6,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,47932.2712704717,3,331,1
2015-2017,26,25-29,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3990.64197596994,3,337,1
2015-2017,16,15-19,<HS,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,5132.01237680949,3,367,0
2015-2017,35,35-39,Post-Grad,0,2,2,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,28568.4760919474,2,343,1
2015-2017,27,25-29,<HS,2,1,3,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Formerly Married,10490.5326115646,4,316,1
2015-2017,27,25-29,Some College,1,1,2,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Never Married,20389.4438139548,4,311,1
2015-2017,30,30-34,Post-Grad,0,1.5,1.5,Other or Multiple,Never Married,0,0,White,Non-Hispanic,Never Married,10862.6648528852,4,351,1
2015-2017,33,30-34,Some College,2,0,2,Other or Multiple,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,2212.70401457285,2,367,0
2015-2017,24,20-24,<HS,1,1,2,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,13290.0465987161,3,366,1
2015-2017,24,20-24,HS,1,1,2,Hispanic,Never Married,1,1,Black,Hispanic,Never Married,2853.98867977293,4,347,1
2015-2017,29,25-29,Bachelor,0,1.5,1.5,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,25605.0943944362,2,343,1
2015-2017,39,35-39,Post-Grad,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,12076.1917770856,3,337,0
2015-2017,29,25-29,Post-Grad,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,7302.81120352662,2,367,1
2015-2017,26,25-29,HS,3,1,4,Non-Hispanic Black,Cohabitating,1,1,Black,Non-Hispanic,Never Married,3780.30423781752,2,366,1
2015-2017,44,40-44,HS,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,1924.916,3,367,0
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,28939.5868619517,3,316,1
2015-2017,29,25-29,Some College,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,22999.5667969444,2,337,0
2015-2017,34,30-34,Bachelor,2,1,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,33475.1182411972,3,331,1
2015-2017,32,30-34,Bachelor,1,0,1,Hispanic,Married,0,0,White,Hispanic,Married,6021.50143388775,1,367,0
2015-2017,16,15-19,<HS,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3123.12152936805,4,347,0
2015-2017,42,40-44,HS,4,0,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,40240.3872618198,1,322,0
2015-2017,34,30-34,Bachelor,0,2,2,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,78701.0790335834,2,347,1
2015-2017,19,15-19,HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,2211.31227839822,1,330,1
2015-2017,38,35-39,Post-Grad,1,1,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,24710.496207441,3,305,1
2015-2017,20,20-24,Some College,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,24184.5923989152,4,337,0
2015-2017,33,30-34,HS,5,0,5,Hispanic,Formerly Married,1,1,White,Hispanic,Formerly Married,5128.65760972361,4,366,0
2015-2017,30,30-34,<HS,1,0,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,7979.7556811672,1,329,0
2015-2017,15,15-19,<HS,0,0,0,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,4805.61571306544,1,337,0
2015-2017,43,40-44,Post-Grad,1,0,1,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6061.59795413383,4,331,0
2015-2017,26,25-29,HS,3,1,4,Non-Hispanic White,Formerly Married,2,1,White,Non-Hispanic,Formerly Married,5368.25462893466,3,316,1
2015-2017,37,35-39,Post-Grad,3,1,4,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,5952.16300750531,3,331,1
2015-2017,17,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,Other,Hispanic,Never Married,5097.4456372722,2,309,1
2015-2017,36,35-39,Post-Grad,3,0,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,21483.7695278489,3,367,0
2015-2017,19,15-19,Some College,0,4,4,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,7503.07225421601,2,312,1
2015-2017,30,30-34,Bachelor,2,4,6,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,7971.75533783732,4,309,1
2015-2017,33,30-34,Some College,3,0,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,12441.4854609563,4,330,0
2015-2017,18,15-19,HS,1,1,2,Hispanic,Married,1,1,Other,Hispanic,Married,4720.71805852052,2,331,1
2015-2017,32,30-34,Some College,4,0,4,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,9867.67851483054,1,364,0
2015-2017,23,20-24,Some College,2,0,2,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,19570.2687942177,1,322,0
2015-2017,17,15-19,<HS,0,33,33,Other or Multiple,Never Married,0,0,White,Non-Hispanic,Never Married,5295.32948756214,4,330,1
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4975.41297656142,1,322,1
2015-2017,36,35-39,Bachelor,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,20209.8569968709,1,311,0
2015-2017,39,35-39,HS,2,0,2,Other or Multiple,Married,1,1,White,Non-Hispanic,Married,14333.6805466766,3,305,0
2015-2017,16,15-19,<HS,0,2,2,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,16933.9553658531,2,330,1
2015-2017,41,40-44,Post-Grad,1,0,1,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,2189.38849545003,3,367,0
2015-2017,16,15-19,<HS,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,12320.2198801262,3,365,1
2015-2017,26,25-29,Some College,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,14831.8070376918,1,309,0
2015-2017,40,40-44,HS,1,0,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,5812.80600147979,2,347,0
2015-2017,44,40-44,Post-Grad,1,0,1,Non-Hispanic Black,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,28445.4948522139,4,365,0
2015-2017,31,30-34,HS,3,0,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,6256.92299988839,3,311,0
2015-2017,19,15-19,HS,0,4,4,Hispanic,Never Married,0,0,White,Hispanic,Never Married,7362.327064311,1,311,1
2015-2017,38,35-39,Some College,2,0,2,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,7545.48032048961,4,368,0
2015-2017,35,35-39,Some College,1,1,2,Hispanic,Never Married,1,1,White,Hispanic,Never Married,8844.03443583645,3,305,1
2015-2017,15,15-19,<HS,0,2,2,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,14064.1362145847,2,347,1
2015-2017,18,15-19,<HS,0,0,0,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,7789.84203553662,4,368,0
2015-2017,19,15-19,HS,0,4,4,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2948.77455138658,2,366,1
2015-2017,33,30-34,<HS,2,0,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4349.89397888502,1,309,0
2015-2017,41,40-44,Bachelor,2,0,2,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,1924.916,3,365,0
2015-2017,23,20-24,Some College,0,2,2,Other or Multiple,Never Married,0,0,White,Non-Hispanic,Never Married,5195.11363175346,4,368,1
2015-2017,29,25-29,<HS,2,2,4,Hispanic,Cohabitating,0,0,White,Hispanic,Never Married,5927.66208045627,4,331,1
2015-2017,42,40-44,Some College,3,0,3,Hispanic,Never Married,0,0,White,Hispanic,Never Married,3216.7006012672,3,343,0
2015-2017,27,25-29,HS,3,0,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,6049.68710749222,3,316,0
2015-2017,32,30-34,Post-Grad,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,9570.79352495413,1,347,1
2015-2017,24,20-24,Bachelor,1,5,6,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,5688.79040236092,4,309,1
2015-2017,38,35-39,Some College,3,0,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Formerly Married,42453.5363595559,4,322,0
2015-2017,41,40-44,Bachelor,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,14549.9662600924,2,337,0
2015-2017,18,15-19,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3215.1159930945,1,364,1
2015-2017,29,25-29,Some College,0,2,2,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,22957.7939938424,1,368,1
2015-2017,25,25-29,HS,1,1,2,Hispanic,Cohabitating,1,1,White,Hispanic,Never Married,3017.20121767268,2,312,1
2015-2017,31,30-34,Some College,2,1,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,24548.5109842077,2,343,1
2015-2017,27,25-29,HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,21026.3603347017,4,351,1
2015-2017,21,20-24,Some College,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,31288.3593623814,4,347,1
2015-2017,29,25-29,HS,0,0,0,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,106774.4,1,305,0
2015-2017,41,40-44,HS,1,0,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,15486.5593561632,2,330,0
2015-2017,44,40-44,Some College,3,0,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,4970.98887458007,3,343,0
2015-2017,15,15-19,<HS,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4259.06469796121,2,368,1
2015-2017,36,35-39,HS,1,0,1,Other or Multiple,Formerly Married,0,0,Other,Non-Hispanic,Formerly Married,4419.24679666156,4,311,0
2015-2017,20,20-24,<HS,1,1,2,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,2517.7875838016,2,322,1
2015-2017,30,30-34,<HS,4,0,4,Hispanic,Married,2,1,White,Hispanic,Married,6621.84828333688,1,330,0
2015-2017,36,35-39,Post-Grad,2,1,3,Other or Multiple,Married,2,1,Other,Non-Hispanic,Married,13128.2936059811,4,331,1
2015-2017,26,25-29,HS,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,4529.72640115366,1,347,1
2015-2017,18,15-19,<HS,0,3,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,6069.45099428239,1,311,1
2015-2017,25,25-29,HS,3,1,4,Hispanic,Married,2,1,White,Hispanic,Married,6388.25978672089,4,309,1
2015-2017,34,30-34,Bachelor,1,1,2,Non-Hispanic Black,Married,1,1,Black,Non-Hispanic,Married,4313.14705798761,1,347,1
2015-2017,22,20-24,Some College,0,4,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,11523.7878119468,4,309,1
2015-2017,17,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,11603.4250010915,1,329,1
2015-2017,36,35-39,HS,4,0,4,Hispanic,Married,0,0,White,Hispanic,Married,27793.610660031,1,366,0
2015-2017,30,30-34,HS,3,0,3,Hispanic,Married,1,1,White,Hispanic,Married,36243.3941737213,3,305,0
2015-2017,19,15-19,HS,0,3,3,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4656.99054733028,3,337,1
2015-2017,40,40-44,HS,3,0,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3877.40054334606,4,366,0
2015-2017,18,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,17617.1450648402,4,367,1
2015-2017,21,20-24,HS,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,7508.43582577329,3,365,1
2015-2017,37,35-39,HS,1,0,1,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,7901.86064643493,2,351,0
2015-2017,44,40-44,HS,1,0,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,1924.916,4,347,0
2015-2017,41,40-44,HS,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,10839.6441738788,1,331,0
2015-2017,23,20-24,<HS,1,3,4,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,2589.91239443307,2,311,1
2015-2017,33,30-34,Some College,3,0,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,6180.62051827048,4,309,0
2015-2017,19,15-19,HS,0,1,1,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,4763.67567183225,3,305,1
2015-2017,26,25-29,Bachelor,2,1,3,Non-Hispanic Black,Married,2,1,Black,Non-Hispanic,Married,5913.04317004275,3,351,1
2015-2017,32,30-34,Post-Grad,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,20241.3108591338,3,365,0
2015-2017,17,15-19,<HS,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,8467.15317258909,3,330,1
2015-2017,17,15-19,HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,8839.27835936436,3,347,0
2015-2017,30,30-34,Post-Grad,0,1,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,16895.7212727042,4,329,1
2015-2017,28,25-29,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6595.54598641308,2,330,1
2015-2017,27,25-29,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,5946.02586033993,3,365,1
2015-2017,18,15-19,HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,9167.71326104667,4,366,1
2015-2017,35,35-39,Some College,1,0,1,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,6471.85879063587,4,305,0
2015-2017,36,35-39,Post-Grad,1,0,1,Other or Multiple,Married,1,1,Other,Non-Hispanic,Married,10284.3993074956,2,347,0
2015-2017,33,30-34,Some College,3,0,3,Non-Hispanic Black,Never Married,2,1,Black,Non-Hispanic,Never Married,2415.55154075318,4,330,0
2015-2017,28,25-29,Bachelor,0,2,2,Hispanic,Married,0,0,White,Hispanic,Married,3600.99800613222,1,309,1
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,9935.06021243535,2,364,1
2015-2017,43,40-44,HS,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,4467.73027189602,4,367,0
2015-2017,36,35-39,HS,0,0,0,Other or Multiple,Cohabitating,0,0,White,Non-Hispanic,Never Married,7268.48906209896,4,343,0
2015-2017,17,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,Other,Hispanic,Never Married,6277.82916014306,4,351,1
2015-2017,40,40-44,Some College,2,0,2,Hispanic,Married,0,0,White,Hispanic,Married,6580.96394521493,2,309,0
2015-2017,16,15-19,<HS,0,2,2,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,2797.09535519726,3,367,1
2015-2017,39,35-39,<HS,3,0,3,Hispanic,Formerly Married,0,0,White,Hispanic,Formerly Married,3309.77930922956,2,312,0
2015-2017,31,30-34,Post-Grad,2,0,2,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,7617.26123273731,2,364,0
2015-2017,22,20-24,<HS,1,2,3,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Never Married,22851.552201525,3,368,1
2015-2017,15,15-19,<HS,0,0,0,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,5727.38965722726,1,331,0
2015-2017,23,20-24,<HS,1,0,1,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,4273.42351455672,1,316,0
2015-2017,31,30-34,Post-Grad,1,1,2,Hispanic,Married,1,1,Other,Hispanic,Married,15010.978637036,3,305,1
2015-2017,32,30-34,HS,2,0,2,Non-Hispanic Black,Married,2,1,Black,Non-Hispanic,Married,11451.6111935312,2,343,0
2015-2017,26,25-29,Some College,3,1,4,Non-Hispanic Black,Cohabitating,3,1,Black,Non-Hispanic,Never Married,5957.46571243224,4,365,1
2015-2017,23,20-24,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,17605.0360465753,3,311,1
2015-2017,42,40-44,HS,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,6013.09117594064,3,367,0
2015-2017,25,25-29,<HS,1,1,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2875.94463868364,3,365,1
2015-2017,24,20-24,HS,1,2,3,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,4874.78002656374,1,316,1
2015-2017,27,25-29,Some College,0,3,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3946.82788556748,4,330,1
2015-2017,33,30-34,Post-Grad,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,24863.7955778362,4,343,1
2015-2017,25,25-29,Bachelor,0,1,1,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4705.35653109192,1,337,1
2015-2017,30,30-34,Bachelor,0,1,1,Hispanic,Married,0,0,White,Hispanic,Married,12677.4701707462,1,367,1
2015-2017,24,20-24,Bachelor,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,17059.210994317302,3,347,1
2015-2017,27,25-29,HS,2,0,2,Non-Hispanic White,Formerly Married,1,1,White,Non-Hispanic,Formerly Married,5441.06071125284,4,366,0
2015-2017,21,20-24,Bachelor,0,3,3,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,6428.26424391871,1,343,1
2015-2017,23,20-24,HS,1,0,1,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,3344.94404360515,1,331,0
2015-2017,43,40-44,HS,0,0,0,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,14260.7366082007,3,330,0
2015-2017,43,40-44,Bachelor,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,16844.1266519972,2,337,1
2015-2017,17,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,8587.50718903857,4,337,1
2015-2017,24,20-24,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,7927.99251753911,1,311,1
2015-2017,19,15-19,HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,22480.9528804248,4,365,1
2015-2017,18,15-19,<HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,7772.19498963808,3,365,0
2015-2017,17,15-19,<HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,10456.9437984109,1,331,1
2015-2017,28,25-29,Post-Grad,0,1,1,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4146.79660358155,1,351,1
2015-2017,40,40-44,Some College,0,0,0,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,3985.83814182313,2,331,0
2015-2017,19,15-19,Some College,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,18578.9829428718,3,330,1
2015-2017,25,25-29,HS,2,1,3,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,1988.85732537261,4,347,1
2015-2017,42,40-44,HS,2,0,2,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,7478.11703153819,1,347,0
2015-2017,38,35-39,Bachelor,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,5102.6653340654,1,316,1
2015-2017,33,30-34,Bachelor,2,0,2,Hispanic,Married,1,1,White,Hispanic,Married,6901.50418800326,4,331,0
2015-2017,29,25-29,Some College,0,0,0,Hispanic,Never Married,0,0,Black,Hispanic,Never Married,11173.5227520684,4,331,0
2015-2017,30,30-34,Post-Grad,0,0,0,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,106774.4,2,311,0
2015-2017,23,20-24,HS,0,0,0,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,7697.4924666534,2,322,0
2015-2017,25,25-29,Bachelor,0,3,3,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,6525.01488914843,3,311,1
2015-2017,28,25-29,Some College,1,1,2,Hispanic,Cohabitating,1,1,White,Hispanic,Formerly Married,23746.4379595573,4,331,1
2015-2017,34,30-34,Post-Grad,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,46282.1872762453,3,343,0
2015-2017,25,25-29,Bachelor,0,3,3,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,16454.8627857803,2,343,1
2015-2017,42,40-44,Bachelor,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4007.80883697488,4,367,0
2015-2017,18,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,1924.916,1,309,1
2015-2017,17,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,9954.66010652829,2,311,1
2015-2017,31,30-34,HS,1,2,3,Hispanic,Married,0,0,White,Hispanic,Married,7165.68454329529,4,312,1
2015-2017,18,15-19,HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3605.76845390141,1,351,1
2015-2017,43,40-44,Bachelor,2,0,2,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,31180.765767776,3,337,0
2015-2017,24,20-24,HS,3,0,3,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,2993.95557522649,1,316,0
2015-2017,44,40-44,Some College,1,0,1,Hispanic,Married,0,0,White,Hispanic,Married,8672.7626317734,2,365,0
2015-2017,27,25-29,HS,2,2,4,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,3937.44790285159,2,366,1
2015-2017,40,40-44,HS,3,0,3,Hispanic,Married,0,0,White,Hispanic,Married,3463.5287073755,2,312,0
2015-2017,16,15-19,<HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,55888.4216692442,3,366,0
2015-2017,21,20-24,HS,0,1,1,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,5881.22647388775,4,330,1
2015-2017,23,20-24,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3079.21714952205,4,329,1
2015-2017,24,20-24,Bachelor,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,29857.3920921306,2,367,1
